Abominable,Static,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage.",,,,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage."
Mini-Noses,Daily - Standard Action,"The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the battlefield. These Mini-Noses have HP equal to the user’s level but otherwise uses their user’s stats. Each Mini-Nose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown Mini-Noses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from the user; if they are forced farther away, they will automatically Shift toward the user on the user’s turn.",,,,"The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the battlefield. These Mini-Noses have HP equal to the user’s level but otherwise uses their user’s stats. Each Mini-Nose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown Mini-Noses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from the user; if they are forced farther away, they will automatically Shift toward the user on the user’s turn."
Minus,Scene -  Free Action,The target's Special Attack is raised by +2 Combat Stages.,,An ally with Plus within 10 Meters,,"Target - An ally with Plus within 10 Meters The target's Special Attack is raised by +2 Combat Stages."
Miracle Mile,Static,The user gains Last Chance with Fairy.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Fairy."
Mojo,Static,Normal Types are not immune to the user's Ghost Type Moves.,,,,Normal Types are not immune to the user's Ghost Type Moves.
Mold Breaker,Static,The user ignores the effect of enemies’ Defensive Abilities.,,An Adjacent Pokémon or Trainer,,"Target - An Adjacent Pokémon or Trainer The user ignores the effect of enemies’ Defensive Abilities."
Moody,At-Will - Free Action,"Moody must be activated whenever it is triggered. Roll 1d10 to determine a Stat to be raised by +2 Combat Stages, then roll 1d10 to determine a Stat to be lower 2 Combat Stages. 1 or 2 is Attack, 3 or 4 is Defense, 5 or 6 is Special Attack, 7 or 8 is Special Defense, 9 or 10 is Speed.","The user joins an encounter, misses with a Move, or hurts itself in Confusion",,,"Trigger - The user joins an encounter, misses with a Move, or hurts itself in Confusion Moody must be activated whenever it is triggered. Roll 1d10 to determine a Stat to be raised by +2 Combat Stages, then roll 1d10 to determine a Stat to be lower 2 Combat Stages. 1 or 2 is Attack, 3 or 4 is Defense, 5 or 6 is Special Attack, 7 or 8 is Special Defense, 9 or 10 is Speed."
Motor Drive,Static,"The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type attack hits the Pokémon, raise their Speed by +1 Combat Stage. Defensive.",,,,"The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type attack hits the Pokémon, raise their Speed by +1 Combat Stage. Defensive."
Mountain Peak,Static,The user gains Last Chance with Rock.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Rock."
Moxie,Static,"Whenever the user’s Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may only trigger Moxie once per Move, even if the Move causes multiple targets to faint.",,,,"Whenever the user’s Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may only trigger Moxie once per Move, even if the Move causes multiple targets to faint."
Mud Dweller,Static,The user resists Ground-Type and Water-Type attacks one step further.,,,,The user resists Ground-Type and Water-Type attacks one step further.
Multiscale,Static,"When at full Hit Points, when taking damage from a Move, half the total damage before applying weakness and resistance, after applying your Defenses. Defensive.",,,,"When at full Hit Points, when taking damage from a Move, half the total damage before applying weakness and resistance, after applying your Defenses. Defensive."
Multitype,At Will - Free Action,The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled.,,,,The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled.
Mummy,Daily – Free Action,Replace all of the Attacker’s Abilities with Mummy until the end of the encounter.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack Replace all of the Attacker’s Abilities with Mummy until the end of the encounter."
Natural Cure,Scene - Free Action,"Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of all Persistent Status Afflictions.",,,,"Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of all Persistent Status Afflictions."
No Guard,Static,"The user may not apply any form of Evasion to avoiding melee attacks; however, the user ignores all forms of evasion when making Melee attack rolls.",,,,"The user may not apply any form of Evasion to avoiding melee attacks; however, the user ignores all forms of evasion when making Melee attack rolls."
Normalize,Static,All Moves performed by the Pokémon are considered Normal Type instead of whatever Type they normally are.,,,,All Moves performed by the Pokémon are considered Normal Type instead of whatever Type they normally are.
Oblivious,Static,The user is immune to the Enraged and Infatuated conditions. Defensive.,,,,The user is immune to the Enraged and Infatuated conditions. Defensive.
Odious Spray,Scene -  Free Action,"Connection - Poison Gas. The user may activate this Ability when using Poison Gas to cause Poison Gas to be a single target attack with a range of 8. When used this way, Poison Gas has an AC of 2, and also flinches its target if it hits.",,,,"Connection - Poison Gas. The user may activate this Ability when using Poison Gas to cause Poison Gas to be a single target attack with a range of 8. When used this way, Poison Gas has an AC of 2, and also flinches its target if it hits."
Omen,Scene - Swift Action,Choose a Pokémon or Trainer within 5 meters. The target's Accuracy is lowered by 2.,,,,Choose a Pokémon or Trainer within 5 meters. The target's Accuracy is lowered by 2.
Overcharge,Static,The user gains Last Chance with Electric.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Electric."
Overcoat,Static,"The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that would normally cause it to take damage. Defensive.",,,,"The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that would normally cause it to take damage. Defensive."
Overgrow,Static,The user gains Last Chance with Grass.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Grass."
Own Tempo,Static,The user is immune to Confusion. Defensive.,,,,The user is immune to Confusion. Defensive.
Pack Hunt,At Will - Free Action,"The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses a Tick of Hit Points.",An adjacent foe is damaged by an ally's Melee attack.,,,"Trigger - An adjacent foe is damaged by an ally's Melee attack. The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses a Tick of Hit Points."
Parental Bond,Static,"Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this Ability, the Baby gains 10 Damage Reduction, and will leave its mother’s pouch and may be commanded to take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction and +5 to Damage Rolls for the remainder of the Scene.",,,,"Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this Ability, the Baby gains 10 Damage Reduction, and will leave its mother’s pouch and may be commanded to take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction and +5 to Damage Rolls for the remainder of the Scene."
Parry,Scene -  Free Action,The attack instead misses. Defensive.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack The attack instead misses. Defensive."
Perception,"At-Will – Shift Action, Interrupt",You may Shift to remove yourself from the area-of-effect.,An ally uses an area-of-effect attack that would hit you,,,"Trigger - An ally uses an area-of-effect attack that would hit you You may Shift to remove yourself from the area-of-effect."
Permafrost,Static,"The user gains 5 Damage Reduction against Super-Effective Damage. Additionally, whenever the user would lose a Tick of Hit Points due to an effect such as Sandstorm or the Burn Status condition, subtract 5 from the amount of Hit Points lost. Defensive.",,,,"The user gains 5 Damage Reduction against Super-Effective Damage. Additionally, whenever the user would lose a Tick of Hit Points due to an effect such as Sandstorm or the Burn Status condition, subtract 5 from the amount of Hit Points lost. Defensive."
Photosynthesis,Daily - Extended Action,"If the user is allowed to bask in normal sunlight for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",,,,"If the user is allowed to bask in normal sunlight for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury."
Pickpocket,Scene -  Free Action,"If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding.",The user is hit by an opponent with a Melee Move,,,"Trigger - The user is hit by an opponent with a Melee Move If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding."
Pickup,Daily - Extended Action,"You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup keyword to figure out what you find!",,,,"You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup keyword to figure out what you find!"
Pixilate,At-Will - Free Action,The Move is changed to be Fairy-Type.,The user uses a Normal Type damaging Move.,,,"Trigger - The user uses a Normal Type damaging Move. The Move is changed to be Fairy-Type."
Plus,Scene -  Free Action,The target's Special Attack is raised by +2 Combat Stages.,,An ally with Minus within 10 Meters,,"Target - An ally with Minus within 10 Meters The target's Special Attack is raised by +2 Combat Stages."
Poison Heal,Daily - Free Action,"For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being Poisoned.",The user becomes Poisoned.,,,"Trigger - The user becomes Poisoned. For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being Poisoned."
Poison Point,Scene -  Free Action,The attacking foe is Poisoned.,The user is hit by a Melee Move,,,"Trigger - The user is hit by a Melee Move The attacking foe is Poisoned."
Poison Touch,Static,"The Pokémon’s Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of Poisoning foes, Poison Touch increases the effect range by +2.",,,,"The Pokémon’s Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of Poisoning foes, Poison Touch increases the effect range by +2."
Poltergeist,Static,"Rotom gains an Ability and a Move depending on what Form it has taken. This Move cannot be forgotten or replaced in any way.  Standard Rotom: Move - Thunder Shock. Ability - Levitate. Heat Rotom: Move- Overheat. Ability - Levitate. Wash Rotom: Move - Hydro Pump. Ability - Aqua Boost. Frost Rotom: Move - Blizzard. Ability - Frostbite. Fan Rotom: Move - Air Slash. Ability - Keen Eye Mow Rotom: Move - Leaf Storm. Ability - Grass Pelt.",,,,"Rotom gains an Ability and a Move depending on what Form it has taken. This Move cannot be forgotten or replaced in any way.  Standard Rotom: Move - Thunder Shock. Ability - Levitate. Heat Rotom: Move- Overheat. Ability - Levitate. Wash Rotom: Move - Hydro Pump. Ability - Aqua Boost. Frost Rotom: Move - Blizzard. Ability - Frostbite. Fan Rotom: Move - Air Slash. Ability - Keen Eye Mow Rotom: Move - Leaf Storm. Ability - Grass Pelt."
Polycephaly,Static,The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step further than they normally would be.,,,,The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step further than they normally would be.
Prankster,Static,The user may use Status Moves as Priority (Advanced).,,,,The user may use Status Moves as Priority (Advanced).
Pressure,Static,"While within 3 meters of the user, all foes are Suppressed. This effect ends when the user is Fainted.",,,,"While within 3 meters of the user, all foes are Suppressed. This effect ends when the user is Fainted."
Pride,Static,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Special Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way.",,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Special Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way."
Prime Fury,Scene - Swift Action,"The user becomes Enraged, and gains +1 Attack Combat Stage.",,,,"The user becomes Enraged, and gains +1 Attack Combat Stage."
Probability Control,Scene - Free Action,"The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable Psychic residue.",,Any roll made by yourself or an ally.,,"Target - Any roll made by yourself or an ally. The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable Psychic residue."
Protean,At-Will -  Swift Action,"The user’s Type changes to match the Type of the triggering Move. This Ability resolves before the Move is resolved (And thus you may apply STAB, and trigger other Features and Abilities appropriately).",The user uses a Move.,,,"Trigger - The user uses a Move. The user’s Type changes to match the Type of the triggering Move. This Ability resolves before the Move is resolved (And thus you may apply STAB, and trigger other Features and Abilities appropriately)."
Pumpkingrab,Static,"The user gains a +4 bonus to Accuracy Checks of Struggle Attacks made to initiate Grapple, and a +3 Bonus to Skill Checks made to initiate a Grapple.",,,,"The user gains a +4 bonus to Accuracy Checks of Struggle Attacks made to initiate Grapple, and a +3 Bonus to Skill Checks made to initiate a Grapple."
Pure Blooded,Static,The user gains Last Chance with Dragon.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Dragon."
Pure Power,Static,"The Pokémon's base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features.",,,,"The Pokémon's base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features."
Quick Cloak,At-Will - Standard Action,"Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak, using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak. While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage, or if Burmy makes a new Cloak.",,,,"Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak, using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak. While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage, or if Burmy makes a new Cloak."
Quick Curl,Scene -  Free Action,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as a Swift Action.,,,,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as a Swift Action.
Quick Feet,Static,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user does not lose Speed Combat Stages from Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately.",,,,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user does not lose Speed Combat Stages from Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately."
Rain Dish,Static,"While Rainy, the user gains a Tick of Hit Points at the beginning of each of their turns.",,,,"While Rainy, the user gains a Tick of Hit Points at the beginning of each of their turns."
Rally,Scene - Swift Action,"All allies within 10 meters may immediately shift 1 Meter in any direction they wish. Rally does not work on sleeping, flinched, stuck, fainted, or otherwise incapacitated allies. Rally does not work on the user.",,,,"All allies within 10 meters may immediately shift 1 Meter in any direction they wish. Rally does not work on sleeping, flinched, stuck, fainted, or otherwise incapacitated allies. Rally does not work on the user."
Rattled,At-Will - Free Action,The user's Speed is raised by +1 Combat Stage.,"The user is hit by a Bug, Dark, or Ghost Type Move",,,"Trigger - The user is hit by a Bug, Dark, or Ghost Type Move The user's Speed is raised by +1 Combat Stage."
Razor Edge,Static,"Connection - Poison Tail. The user's Critical Hit Range on all Moves is increased by +2; any Moves with ""Tail"" in their name have their Critical Hit Range increased by +3 instead.",,,,"Connection - Poison Tail. The user's Critical Hit Range on all Moves is increased by +2; any Moves with ""Tail"" in their name have their Critical Hit Range increased by +3 instead."
Reckless,Static,"Increase the Damage Base of the moves Jump Kick, Hi Jump Kick, and moves with the Recoil Keyword by +2.",,,,"Increase the Damage Base of the moves Jump Kick, Hi Jump Kick, and moves with the Recoil Keyword by +2."
Refreshing Veil,Scene - Free Action,"Connection – Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure themselves of all Persistent Status Effects.",,,,"Connection – Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure themselves of all Persistent Status Effects."
Refridgerate,At-Will - Free Action,The Move is changed to be Ice Type.,The user uses a Normal Type Damaging Move.,,,"Trigger - The user uses a Normal Type Damaging Move. The Move is changed to be Ice Type."
Regal Challenge,Scene -  Swift Action,"Make an AC4 Status Attack against the target. If the attack hits, lower the target’s Speed by 1 Combat Stage and the target is Slowed. If the attack misses, raise the user’s Attack and Special Attack by +1 Combat Stage each.",,Pokémon or Trainer within 5 Meters,,"Target - Pokémon or Trainer within 5 Meters Make an AC4 Status Attack against the target. If the attack hits, lower the target’s Speed by 1 Combat Stage and the target is Slowed. If the attack misses, raise the user’s Attack and Special Attack by +1 Combat Stage each."
Regenerator,Daily x2 - Free Action,The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once per Scene.,The user is recalled into a Pokeball or Takes a Breather.,,,"Trigger - The user is recalled into a Pokeball or Takes a Breather. The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once per Scene."
Rivalry,Static,"Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by +5.",,,,"Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by +5."
Rock Head,Static,The user ignores the Recoil keyword when attacking.,,,,The user ignores the Recoil keyword when attacking.
Rocket,Scene - Swift Action,"The user’s Sky capability is increased by +3 until the end of the user’s next turn, and the user goes first on the following round, ignoring initiative; Interrupt Moves may not be used in response to their Moves that round.",,,,"The user’s Sky capability is increased by +3 until the end of the user’s next turn, and the user goes first on the following round, ignoring initiative; Interrupt Moves may not be used in response to their Moves that round."
Root Down,At-Will - Shift Action,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain Temporary Hit Points equal to 1/16th of their Max Hit Points.",,,,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain Temporary Hit Points equal to 1/16th of their Max Hit Points."
Rough Skin,At-Will - Free Action,The attacker loses a tick of Hit Points.,The user is hit by a damaging Melee Attack,,,"Trigger - The user is hit by a damaging Melee Attack The attacker loses a tick of Hit Points."
Run Away,Static,"The user cannot be Slowed, Stuck, or Trapped. The user does not provoke Attacks of Opportunity by Shifting.",,,,"The user cannot be Slowed, Stuck, or Trapped. The user does not provoke Attacks of Opportunity by Shifting."
Run Up,Static,"If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of meters traveled in a direct line as Bonus Damage to a Damage Roll.",,,,"If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of meters traveled in a direct line as Bonus Damage to a Damage Roll."
Sand Force,Static,"While in a Sandstorm, the user's Ground, Rock, and Steel-Type Direct-Damage Moves deal +5 Damage. Additionally, the user is immune to damage from Sandstorms.",,,,"While in a Sandstorm, the user's Ground, Rock, and Steel-Type Direct-Damage Moves deal +5 Damage. Additionally, the user is immune to damage from Sandstorms."
Sand Rush,Static,"While the Weather is a Sandstorm, the user gains +4 Speed Combat Stages. Additionally, the user is immune to damage from Sandstorms.",,,,"While the Weather is a Sandstorm, the user gains +4 Speed Combat Stages. Additionally, the user is immune to damage from Sandstorms."
Sand Stream,Scene -  Free Action,"The Weather changes to a Sandstorm for 5 rounds. As a static effect, the user is not damaged by Sandstorm.",,,,"The Weather changes to a Sandstorm for 5 rounds. As a static effect, the user is not damaged by Sandstorm."
Sand Veil,Static,The user’s Evasion is increased by +2 while in a Sandstorm. The user and allies adjacent to the user are not damaged by the Sandstorm.,,,,The user’s Evasion is increased by +2 while in a Sandstorm. The user and allies adjacent to the user are not damaged by the Sandstorm.
Sap Sipper,Static,"The user is immune to the damage and effects of Grass Type attacks. If a damaging Grass Type attack hits the user, the user gains +1 Attack Combat Stage. Defensive.",,,,"The user is immune to the damage and effects of Grass Type attacks. If a damaging Grass Type attack hits the user, the user gains +1 Attack Combat Stage. Defensive."
Scrappy,Static,Ghosts are not immune to the user's Normal and Fighting-Type Moves.,,,,Ghosts are not immune to the user's Normal and Fighting-Type Moves.
Sequence,Scene -  Free Action,"For every allied Electric-Type Pokémon cardinally adjacent to the user, raise the user’s Attack and Special Attack by +1 CS each before calculating damage for the triggering attack. After the attack is resolved, lose all Combat Stages gained this way.",The user uses an Electric Attack,,,"Trigger - The user uses an Electric Attack For every allied Electric-Type Pokémon cardinally adjacent to the user, raise the user’s Attack and Special Attack by +1 CS each before calculating damage for the triggering attack. After the attack is resolved, lose all Combat Stages gained this way."
Serene Grace,Static,The users Effect Range is increased by +2.,,,,The users Effect Range is increased by +2.
Serpent's Mark,Static,"Arbok’s Advanced and High Abilities depend on the Arbok’s hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both parents are Arboks with different patterns, determine the pattern randomly.  Pattern Name - Adv Ability / High Ability 1) Attack Pattern - Rivalry / Strong Jaw 2) Crush Pattern - Unnerve / Crush Trap 3) Fear Pattern - Frighten / Regal Challenge 4) Life Pattern – Regenerator / Defy Death 5) Speed Pattern - Run Away / Speed Boost 6) Stealth Pattern - Instinct / Infiltrator",,,,"Arbok’s Advanced and High Abilities depend on the Arbok’s hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both parents are Arboks with different patterns, determine the pattern randomly.  Pattern Name - Adv Ability / High Ability 1) Attack Pattern - Rivalry / Strong Jaw 2) Crush Pattern - Unnerve / Crush Trap 3) Fear Pattern - Frighten / Regal Challenge 4) Life Pattern – Regenerator / Defy Death 5) Speed Pattern - Run Away / Speed Boost 6) Stealth Pattern - Instinct / Infiltrator"
Shackle,Scene -  Free Action,Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their next turn.,,,,Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their next turn.
Shadow Tag,Scene -  Free Action,"The target’s shadow becomes pinned to the target’s current spot for 5 turns. During this time, the target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to; even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters from that spot.",,An adjacent Trainer or Pokémon,,"Target - An adjacent Trainer or Pokémon The target’s shadow becomes pinned to the target’s current spot for 5 turns. During this time, the target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to; even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters from that spot."
Shed Skin,Scene -  Free Action,"The user is cured of one of Paralysis, Freezing, Burns, Poison, or Sleep.",,,,"The user is cured of one of Paralysis, Freezing, Burns, Poison, or Sleep."
Sheer Force,Static,"If a Pokémon with Sheer Force uses a Move with a secondary effect that triggers during Accuracy Roll, increase that Move's Base Damage by +2. However, the secondary effects of Move never trigger. This does not affect Critical Hits, or moves with increased Critical Hit ranges.",,,,"If a Pokémon with Sheer Force uses a Move with a secondary effect that triggers during Accuracy Roll, increase that Move's Base Damage by +2. However, the secondary effects of Move never trigger. This does not affect Critical Hits, or moves with increased Critical Hit ranges."
Shell Armor,Static,The user is immune to Critical Hits; they are instead normal hits. Defensive.,,,,The user is immune to Critical Hits; they are instead normal hits. Defensive.
Shell Cannon,Scene -  Free Action,"When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun, and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so.",,,,"When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun, and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so."
Shell Shield,Scene -  Free Action,Connection - Withdraw. The user may activate this Ability to use Withdraw as an Interrupt and a Free Action. The user must still use a Shift Action to stop being Withdrawn.,,,,Connection - Withdraw. The user may activate this Ability to use Withdraw as an Interrupt and a Free Action. The user must still use a Shift Action to stop being Withdrawn.
Shield Dust,Static,"The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the user. For example, Flamethrower can never inflict the Burn Condition. Defensive.",,,,"The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the user. For example, Flamethrower can never inflict the Burn Condition. Defensive."
Silk Threads,Static,"Connection - String Shot. Whenever the user uses ""String Shot"", the target becomes Slowed until the end of their next turn.",,,,"Connection - String Shot. Whenever the user uses ""String Shot"", the target becomes Slowed until the end of their next turn."
Simple,Static,"When the Pokémon’s Combat Stages are altered, double the amount of Combat Stages they are raised or lowered.",,,,"When the Pokémon’s Combat Stages are altered, double the amount of Combat Stages they are raised or lowered."
Skill Link,Scene -  Free Action,The Triggering Move automatically hits 5 Times.,The user hits with a Move with the Five Strike keyword.,,,"Trigger - The user hits with a Move with the Five Strike keyword. The Triggering Move automatically hits 5 Times."
Slow Start,Static,"For 3 rounds after joining an encounter, the Pokémon’s Speed and Attack Stats are halved and they have 10 Damage Reduction.",,,,"For 3 rounds after joining an encounter, the Pokémon’s Speed and Attack Stats are halved and they have 10 Damage Reduction."
Sniper,Static,"When the Pokémon gets a Critical Hit, add the value of the Damage Dice Roll an additional time to the total damage.",,,,"When the Pokémon gets a Critical Hit, add the value of the Damage Dice Roll an additional time to the total damage."
Snow Cloak,Static,The user's Evasion is increased by +2 while in Hail. The user and allies adjacent to the user are not damaged by Hail.,,,,The user's Evasion is increased by +2 while in Hail. The user and allies adjacent to the user are not damaged by Hail.
Snow Warning,Scene -  Free Action,The Weather changes to Hail for 5 rounds. As a static effect the user is not damaged by Hail.,,,,The Weather changes to Hail for 5 rounds. As a static effect the user is not damaged by Hail.
Solar Power,Static,"When Sunny, the Pokémon loses 1/16th of its Max HP at the beginning of its turn. When Sunny, its Special Attack Stat is increased by 2 Combat Stages.",,,,"When Sunny, the Pokémon loses 1/16th of its Max HP at the beginning of its turn. When Sunny, its Special Attack Stat is increased by 2 Combat Stages."
Solid Rock,Static,"When the user is hit by a Super-Effective attack, the attack deals 1.25x damage instead of x1.5 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. If you have both Solid Rock and Filter, you gain 5 Damage eduction against Super-Effective Damage. Defensive.",,,,"When the user is hit by a Super-Effective attack, the attack deals 1.25x damage instead of x1.5 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. If you have both Solid Rock and Filter, you gain 5 Damage eduction against Super-Effective Damage. Defensive."
Sonic Courtship,Scene -  Free Action,"Connection - Attract. Treat Attract as a Cone 2 Move with the Sonic keyword for this use, which effects all targets regardless of Gender.",The user uses Attract,,,"Trigger - The user uses Attract Connection - Attract. Treat Attract as a Cone 2 Move with the Sonic keyword for this use, which effects all targets regardless of Gender."
Soothing Tone,Static,"Connection - Heal Bell. Whenever the user uses the Move Heal Bell, all targets that recovered from a Status ailment gain a Tick of Hit Points.",,,,"Connection - Heal Bell. Whenever the user uses the Move Heal Bell, all targets that recovered from a Status ailment gain a Tick of Hit Points."
Soulstealer,Scene - Free Action,"The user removes one Injury from themselves and recovers 25% of their Maximum Hit Points. If the triggering attack killed its target, the user instead removes all Injuries and recovers all Hit Points.",The user’s attack causes a foe to Faint,,,"Trigger - The user’s attack causes a foe to Faint The user removes one Injury from themselves and recovers 25% of their Maximum Hit Points. If the triggering attack killed its target, the user instead removes all Injuries and recovers all Hit Points."
